"event_list","count"
"upgr-media-type-int-open-media-creat-media-pvw-publ-media-type-pvw-publ-type-pvw-publ-ss-type-pvw-type",1
"upgr-media-fbdel-media-fbprop-publ-fbdel-type-fbprop-pvw-fbdel-media-fbprop-media-fbdel-fbprop-fbdel-fbins-fbprop-fbins-fbdel",1
"upgr-state-fbprop-state-publ-state-pvw-state-type-state-pvw-end",1
"upgr-publ-type-pvw-publ-pvw-type-eff-pvw-eff-type-publ-eff-type-ss-pvw-publ-end",1
"upgr-txt-int-open-fbdel-int-fbins-fbdel-fbins-aud-pvw-end",1
"upgr-fbprop-publ-fbprop-fbins-type-pvw-publ-type-pvw-type-pvw-end",1
"upgr-fbdel-grp-fbdel-pvw-fbdel-grp-fbdel-pvw-fbdel-upgr-fbdel-ss-fbdel-eff-fbdel-pvw-fbdel-pvw-fbdel-eff",1
"upgr-pvw-publ-type-pvw-publ-type-state-aa-type-publ-state-aa-publ-pvw-state-aa-save-state-publ-state",1
"upgr-fbdel-txt-fbdel-addsl-fbdel-txt-fbprop-addsl-fbprop-fbdel-fbprop-pvw-fbprop-addsl-fbprop-media-fbprop-media-fbprop-media",1
"upgr-fbprop-type-fbins-txt-char-media-type-fbdel-char-type-fbins-type-fbprop-pvw-publ-type-upgr-fbprop-end",1
"upgr-fbprop-open-fbdel-int-fbprop-publ-fbprop-fbins-fbprop-fbins-fbprop-type-fbprop-type-fbprop-pvw-fbprop-publ-type-media",1
"upgr-lms-int-lms-publ-lms-pvw-lms-type-lms-pvw-lms-type-lms-publ-type-lms-pvw-lms-pvw-ss",1
"upgr-lms-aa-lms-publ-lms-pvw-lms-type-publ-lms-save-publ-pvw-type-lms-pvw-lms-save-lms-type",1
"upgr-fbprop-fbins-txt-fbprop-open-upgr-end",1
"upgr-arcreat-addsl-fbins-type-quiz-publ-media-fbins-upgr-fbdel-type-int-type-int-publ-type-publ-li-pvw-type",1
"upgr-lms-fbprop-pvw-fbprop-media-fbprop-fbins-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-txt-fbprop-lms-fbprop-lms-fbprop",1
"upgr-pvw-lms-pvw-lms-pvw-lms-pvw-lms-aa-lms-aa-lms-aa-lms-aa-lms-grp-lms-aa-lms",1
"upgr-fbprop-fbins-fbprop-fbins-fbprop-fbins-fbprop-state-fbprop-state-fbprop-fbins-fbprop-type-fbprop-pvw-fbprop-type-fbprop-publ",1
"upgr-aa-lms-publ-lms-pvw-lms-txt-lms-type-lms-fbins-lms-publ-lms-pvw-lms-fbins-lms-fbins-type",1
"upgr-fbprop-publ-fbins-addsl-fbprop-txt-fbins-fbprop-fbins-addsl-fbprop-media-arcreat-txt-fbprop-media-fbprop-media-fbprop-fbins",1
"upgr-publ-fbprop-type-publ-pvw-type-publ-fbprop-type-pvw-media-pvw-upgr-fbprop-type-publ-pvw-publ-type-pvw",1
"upgr-fbprop-state-fbprop-lms-brpubl-lms-brpubl-lms-brpubl-lms-fbprop-type-fbprop-type-fbprop-type-fbprop-publ-fbprop-state",1
"upgr-pvw-type-ss-pvw-type-pvw-type-pvw-end",1
"upgr-fbdel-grp-fbdel-aa-fbdel-aa-grp-state-pvw-grp-publ-type-grp-pvw-type-pvw-publ-type-publ-type",1
"upgr-fbins-fbrem-fbins-fbprop-fbins-fbprop-fbins-fbrem-fbprop-fbrem-fbprop-fbins-fbprop-fbrem-fbprop-end",1
"upgr-fbprop-txt-fbdel-open-fbprop-pvw-fbdel-open-fbprop-txt-fbdel-char-fbprop-fbdel-open-fbprop-upgr-fbprop-upgr-fbprop",1
"upgr-media-type-char-ss-int-txt-ss-pvw-ss-type-fbprop-end",1
"upgr-fbdel-char-fbdel-pvw-arcreat-txt-fbdel-media-fbdel-type-fbdel-publ-fbdel-fbprop-fbdel-char-fbdel-char-fbdel-char",1
"upgr-fbprop-media-fbprop-media-fbprop-ss-fbprop-aa-fbprop-int-fbprop-aa-fbprop-media-fbprop-publ-fbprop-aa-fbprop-media",1
"upgr-type-brpubl-state-upgr-txt-brpubl-state-pvw-brpubl-state-type-state-fbdel-aa-publ-aa-brpubl-state-publ-brpubl",1
"upgr-save-media-publ-media-aa-ss-fbprop-media-pvw-fbdel-fbprop-aa-pvw-aa-type-save-aa-save-addsl-aa",1
"upgr-save-tts-type-tts-fbprop-upgr-ss-tts-txt-tts-ss-tts-save-tts-ss-tts-ss-tts-save-tts",1
"upgr-pvw-char-fbprop-int-tts-fbrem-fbprop-fbins-txt-fbrem-fbprop-fbrem-publ-fbprop-pvw-fbprop-pvw-type-fbprop-type",1
"upgr-fbprop-ss-fbins-fbprop-ss-fbins-state-fbprop-state-fbins-ss-fbprop-fbins-fbprop-fbdel-fbins-fbprop-fbdel-ss-fbprop",1
